_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
000251.jpg1,52,178,248,178,4d86c4cf-eca2-495a-8ebf-b59f8ece6133,66,male,48,0,6.8,000251.jpg1,0.8522044,0.09013979,0.011090603,0.006865093,0.007165181,0.028439123,0.002461263,0.001634552,172,251,54,172
000501.jpg1,80,124,354,124,6d44add4-9520-420f-918e-3da7cee9be95,56,female,-11.6,0,-0.2,000501.jpg1,0.020887652,2.58145E-06,6.87E-08,0.9756823,3.95E-07,0.003299081,0.000125901,2.01188E-06,127,352,80,127
000751.jpg1,69,145,347,145,55d06eb4-89aa-4956-b889-11b214ba1dcb,74,male,-31.8,0,-5.4,000751.jpg1,0.91768074,0.042672757,0.007105116,0.008439578,0.000325724,0.00327861,0.006244238,0.01425325,147,344,69,147
001501.jpg1,106,63,374,63,1c0b2034-6755-438d-9a36-a54563bc231d,32,female,-29.8,0,12.7,001501.jpg1,0.02807594,0.000239283,0.000670036,0.9608649,2.12515E-05,0.010058672,5.12518E-05,1.86388E-05,63,373,105,63
001501.jpg2,123,56,262,56,313d6545-1e3f-4489-b612-9e661d0d59f4,30,female,-24.1,0,9.5,001501.jpg2,0.129844636,0.004698453,0.000154797,0.86449033,6.64974E-05,0.000691854,3.95076E-05,1.39165E-05,58,261,122,58
001501.jpg3,151,54,48,54,825f4b70-ef4a-4f60-ba59-bef382d1adf4,5,female,27.1,0,-15,001501.jpg3,0.607564747,0.251775861,0.001497368,0.0540859,0.029247524,0.04005394,0.008108735,0.007665951,54,47,151,54
001501.jpg4,149,48,155,48,23de205b-7a34-47b7-a420-a29d7c2da2c0,26,male,23.9,0,5.4,001501.jpg4,0.003303081,2.65702E-05,1.9892E-05,0.9943176,1.362E-06,0.002321735,1.62417E-06,8.12142E-06,50,471,223,50
001501.jpg5,61,47,233,47,5937f144-187e-47bf-838c-94ee077a3d5a,35,male,-31.7,0,5,001501.jpg5,0.42938742,0.001492611,0.000224403,0.5523964,0.000367749,0.007342664,0.008075206,0.000713501,47,233,61,47
001501.jpg6,10,45,157,45,d5be80d5-217a-4a35-b94b-83fe50550439,31,male,-8.9,0,-8.3,001501.jpg6,0.127245873,0.002093786,0.000115132,0.869247735,8.96712E-05,0.000488727,0.000700454,1.86212E-05,47,156,150,47
002001.jpg1,71,64,416,64,239f5692-de84-4afd-89aa-57a02ba14ed1,37,male,-8.1,0,3.2,001501.jpg7,0.012096235,0.002684029,0.000115389,0.985025764,1.85354E-05,3.93388E-05,8.4374E-06,1.22637E-05,46,157,10,46
