_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
000251.jpg1,000251.jpg,0.8522044,0.09013979,0.011090603,0.006865093,0.007165181,0.028439123,0.002461263,0.001634552,172,251,54,172,000251.jpg5,male
000501.jpg1,000501.jpg,0.020887652,2.58E-06,6.87E-08,0.9756823,3.95E-07,0.003299081,0.000125901,2.01E-06,127,352,80,127,000501.jpg7,female
000751.jpg1,000751.jpg,0.91768074,0.042672757,0.007105116,0.008439578,0.000325724,0.00327861,0.006244238,0.01425325,147,344,69,147,000751.jpg7,male
001501.jpg1,001501.jpg,0.02807594,0.000239283,0.000670036,0.9608649,2.13E-05,0.010058672,5.13E-05,1.86E-05,63,373,105,63,001501.jpg7,female
001501.jpg2,001501.jpg,0.129844636,0.004698453,0.000154797,0.86449033,6.65E-05,0.000691854,3.95E-05,1.39E-05,58,261,122,58,001501.jpg5,female
001501.jpg3,001501.jpg,0.607564747,0.251775861,0.001497368,0.0540859,0.029247524,0.04005394,0.008108735,0.007665951,54,47,151,54,001501.jpg1,female
001501.jpg4,001501.jpg,0.003303081,2.66E-05,1.99E-05,0.9943176,1.36E-06,0.002321735,1.62E-06,8.12E-06,50,471,223,50,001501.jpg9,#N/A
001501.jpg5,001501.jpg,0.42938742,0.001492611,0.000224403,0.5523964,0.000367749,0.007342664,0.008075206,0.000713501,47,233,61,47,001501.jpg5,female
001501.jpg6,001501.jpg,0.127245873,0.002093786,0.000115132,0.869247735,8.97E-05,0.000488727,0.000700454,1.86E-05,47,156,150,47,001501.jpg3,male
001501.jpg7,001501.jpg,0.012096235,0.002684029,0.000115389,0.985025764,1.85E-05,3.93E-05,8.44E-06,1.23E-05,46,157,10,46,001501.jpg3,male
002001.jpg1,002001.jpg,0.9988896,0.000609512,4.94E-06,1.17E-06,5.82E-06,0.000373096,0.00011508,7.41E-07,64,416,70,64,002001.jpg8,male
002251.jpg1,002251.jpg,0.7241512,1.22E-05,0.000631296,0.2656608,1.32E-06,0.000407037,0.009067026,6.92E-05,59,403,65,59,002251.jpg8,male
002251.jpg2,002251.jpg,0.106872544,0.005650943,0.0009342,0.88231343,0.000297689,0.000241051,0.001091606,0.00259854,54,145,54,54,002251.jpg3,female
002501.jpg1,002501.jpg,0.4194202,0.024451349,0.056121785,0.12509948,0.005567203,0.011513345,0.284461826,0.07336479,56,113,64,56,002501.jpg2,female
002501.jpg2,002501.jpg,0.8621892,0.041991003,0.030692076,0.04227601,0.00099627,0.014796297,0.003185166,0.003873984,55,390,68,55,002501.jpg8,male
002751.jpg1,002751.jpg,0.999073744,3.85E-05,0.000465422,0.000307605,5.95E-06,9.30E-05,1.53E-05,4.78E-07,66,367,78,66,002751.jpg7,male
002751.jpg2,002751.jpg,0.3042088,7.27E-06,2.04E-05,0.6947973,1.06E-06,7.50E-05,0.000886563,3.64E-06,58,146,69,58,002751.jpg3,female
003001.jpg1,003001.jpg,0.993430734,4.75E-05,0.000432035,0.001805864,1.03E-05,0.00242314,0.001809519,4.09E-05,68,380,74,68,003001.jpg8,male
003001.jpg2,003001.jpg,0.2308346,1.49E-05,6.25E-06,0.7639196,1.60E-06,6.06E-05,0.005156575,5.88E-06,59,144,76,59,003001.jpg3,female
003251.jpg1,003251.jpg,0.5349511,0.364290774,0.000340105,0.029112468,0.000784297,0.000812892,0.06861029,0.001098049,58,100,81,58,003251.jpg2,#N/A
003251.jpg2,003251.jpg,0.9485894,0.00372463,0.020019854,0.00024294,0.000107115,0.026906176,0.000234035,0.000175866,57,406,76,57,003251.jpg8,#N/A
003501.jpg1,003501.jpg,0.99961406,2.85E-06,7.61E-05,4.42E-05,5.16E-07,0.000236485,2.56E-05,1.67E-07,67,408,64,67,003501.jpg8,#N/A
003501.jpg2,003501.jpg,0.4889998,0.05153784,0.002389818,0.228021577,0.055020455,0.128512472,0.009290769,0.03622725,61,98,71,61,003501.jpg2,#N/A
003751.jpg1,003751.jpg,0.6872928,0.008486929,0.010462762,0.09353433,0.005939773,0.048169483,0.132373512,0.013740378,72,6,254,72,003751.jpg0,#N/A
