_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
000251.jpg1,0.8522044,0.09013979,0.0110906027,0.006865093,0.007165181,0.0284391232,0.002461263,0.00163455249,172,251,54,172
000501.jpg1,0.0208876524,0.00000258144587,6.8724745e-8,0.9756823,3.9527697e-7,0.00329908077,0.000125901453,0.000002011882,127,352,80,127
000751.jpg1,0.91768074,0.0426727571,0.00710511627,0.008439578,0.000325723551,0.00327861,0.00624423753,0.01425325,147,344,69,147
001501.jpg1,0.02807594,0.000239282774,0.000670036359,0.9608649,0.0000212514515,0.0100586722,0.00005125179,0.0000186388352,63,373,105,63
001501.jpg2,0.129844636,0.00469845347,0.000154796988,0.86449033,0.0000664974,0.0006918544,0.0000395075949,0.0000139165377,58,261,122,58
001501.jpg3,0.607564747,0.251775861,0.00149736821,0.0540859,0.0292475242,0.04005394,0.008108735,0.007665951,54,47,151,54
001501.jpg4,0.003303081,0.00002657015,0.0000198920025,0.9943176,0.00000136200185,0.002321735,0.00000162416882,0.00000812141752,50,471,223,50
001501.jpg5,0.42938742,0.00149261078,0.000224403047,0.5523964,0.000367748522,0.007342664,0.008075206,0.000713501067,47,233,61,47
001501.jpg6,0.127245873,0.00209378637,0.00011513244,0.869247735,0.00008967122,0.0004887269,0.0007004536,0.0000186211873,47,156,150,47
001501.jpg7,0.0120962346,0.002684029,0.000115389063,0.985025764,0.00001853541,0.0000393387563,0.000008437403,0.0000122636657,46,157,10,46
002001.jpg1,0.9988896,0.000609512,0.00000493670768,0.00000117080538,0.00000581832774,0.000373095652,0.000115080082,7.411918e-7,64,416,70,64
002251.jpg1,0.7241512,0.0000121741959,0.0006312958,0.2656608,0.00000131995921,0.0004070366,0.009067026,0.00006917982,59,403,65,59
002251.jpg2,0.106872544,0.00565094268,0.000934200361,0.88231343,0.000297689345,0.000241050875,0.00109160563,0.00259854,54,145,54,54
002501.jpg1,0.4194202,0.0244513489,0.0561217852,0.12509948,0.00556720328,0.0115133449,0.284461826,0.07336479,56,113,64,56
002501.jpg2,0.8621892,0.0419910029,0.0306920763,0.04227601,0.0009962695,0.0147962971,0.00318516628,0.00387398363,55,390,68,55
002751.jpg1,0.999073744,0.0000384725645,0.0004654224,0.000307605485,0.000005948672,0.000093018105,0.0000152830562,4.78104766e-7,66,367,78,66
002751.jpg2,0.3042088,0.00000726541975,0.0000204451626,0.6947973,0.00000106099219,0.00007497454,0.0008865628,0.00000363990034,58,146,69,58
003001.jpg1,0.993430734,0.0000474596636,0.000432034722,0.00180586381,0.0000102982085,0.00242314045,0.00180951855,0.0000409262138,68,380,74,68
003001.jpg2,0.2308346,0.000014918518,0.0000062468057,0.7639196,0.00000160196407,0.00006058115,0.00515657524,0.00000587646264,59,144,76,59
003251.jpg1,0.5349511,0.364290774,0.000340105151,0.0291124675,0.0007842972,0.000812892162,0.06861029,0.00109804876,58,100,81,58
003251.jpg2,0.9485894,0.00372462976,0.0200198535,0.0002429396,0.000107114509,0.0269061755,0.000234034582,0.000175865833,57,406,76,57
003501.jpg1,0.99961406,0.00000285275314,0.00007609131,0.0000441885422,5.159797e-7,0.000236484644,0.000025629497,1.66853383e-7,67,408,64,67
003501.jpg2,0.4889998,0.05153784,0.0023898175,0.228021577,0.0550204553,0.128512472,0.009290769,0.03622725,61,98,71,61
