_id,data/faceRectangle/top,data/faceRectangle/width,data/faceRectangle/left,data/faceRectangle/height,data/faceId,data/attributes/age,data/attributes/gender,data/attributes/headPose/yaw,data/attributes/headPose/pitch,data/attributes/headPose/roll,data
000251.jpg1,52,178,248,178,4d86c4cf-eca2-495a-8ebf-b59f8ece6133,66,male,48,0,6.8,
000501.jpg1,80,124,354,124,6d44add4-9520-420f-918e-3da7cee9be95,56,female,-11.6,0,-0.2,
000751.jpg1,69,145,347,145,55d06eb4-89aa-4956-b889-11b214ba1dcb,74,male,-31.8,0,-5.4,
001501.jpg1,106,63,374,63,1c0b2034-6755-438d-9a36-a54563bc231d,32,female,-29.8,0,12.7,
001501.jpg2,123,56,262,56,313d6545-1e3f-4489-b612-9e661d0d59f4,30,female,-24.1,0,9.5,
001501.jpg3,151,54,48,54,825f4b70-ef4a-4f60-ba59-bef382d1adf4,5,female,27.1,0,-15,
001501.jpg4,149,48,155,48,23de205b-7a34-47b7-a420-a29d7c2da2c0,26,male,23.9,0,5.4,
001501.jpg5,61,47,233,47,5937f144-187e-47bf-838c-94ee077a3d5a,35,male,-31.7,0,5,
001501.jpg6,10,45,157,45,d5be80d5-217a-4a35-b94b-83fe50550439,31,male,-8.9,0,-8.3,
002001.jpg1,71,64,416,64,239f5692-de84-4afd-89aa-57a02ba14ed1,37,male,-8.1,0,3.2,
002251.jpg1,65,59,402,59,c898cd4e-2de6-4188-86fd-a518ef124704,35,male,-21.4,0,5.1,
002251.jpg2,55,53,146,53,23b6f82e-a9f4-406c-9f92-0a81afdef1a6,44,female,11.2,0,-3.5,
002501.jpg1,67,57,389,57,f5fc9e58-6d78-47ec-8c3b-cbcb8767e578,29,male,-36.3,0,6.4,
002501.jpg2,64,55,114,55,0033aaa8-f5c9-45eb-9ee0-633437621b46,31,female,5.6,0,-7.1,
002751.jpg1,77,67,366,67,b53162c2-9b63-444c-907a-efcc44917423,35,male,-29.6,0,-3.3,
002751.jpg2,69,58,145,58,b675d63a-9297-4ad6-a56c-7e741f4079d5,30,female,16.2,0,-1.4,
003001.jpg1,74,69,379,69,5c695636-6579-4a0e-81b0-7a6d54539e8b,37,male,-16.7,0,-4.2,
003001.jpg2,76,59,145,59,067856b4-7e5e-47d5-9558-0245ab1eb9a0,31,female,17.4,0,0.8,
004751.jpg1,98,68,291,68,037fc303-6123-4c77-89a4-716efe08c832,57,female,2.2,0,1.1,
005001.jpg1,110,43,261,43,9211bfe9-fcc0-41cd-bcec-4aed188bd55c,46,male,26.3,0,-3.1,
005001.jpg2,108,34,423,34,330c25c9-b0f6-459c-8f0a-8a63ce41b536,33,female,-0.3,0,10,
005251.jpg1,77,49,214,49,9c7d6e55-3c94-424c-857e-2f120c7d7013,35,male,-3.5,0,1.5,
005251.jpg2,77,35,389,35,e745210c-695d-4a7a-85d8-2e9e31fb5d1c,32,female,-4.1,0,1.1,
005501.jpg1,79,54,196,54,1f5e74ab-5152-47ae-acaf-afc9b284671e,40,male,1,0,-8,
005501.jpg2,102,33,397,33,cb35662d-f5de-403d-8377-4357c98e067b,41,female,19.5,0,-2,
006001.jpg1,82,131,279,131,843cb1d8-a5b6-4270-aa41-c85b887fe73e,70,male,2.8,0,5.6,
006251.jpg1,75,138,246,138,cdfdf3e3-331a-4be7-b6ff-fb16e3959400,82,male,-0.8,0,-1.3,
006501.jpg1,79,137,243,137,5f9c6a26-73a5-4690-b6f6-378c3f967ce2,75,male,0,0,1,
006751.jpg1,88,136,255,136,998bcbf1-59b2-4220-96e2-d31ec2d275fe,84,male,4.8,0,0.7,
007001.jpg1,82,141,233,141,c3243c87-de86-42fb-8714-51ac585e02ae,78,male,-0.5,0,-1.6,
007251.jpg1,97,139,243,139,e3745c5f-ab9e-49a1-8f43-2c326ba5fbdc,78,male,-4.1,0,-2.6,
007501.jpg1,79,140,247,140,536572bf-57b4-40ea-a0b7-2e3bcec78be1,83,male,10.6,0,-3.1,
007751.jpg1,95,139,230,139,f30ff054-793f-4cd5-96fa-edbeb00296b5,83,male,3.8,0,-4.5,
008001.jpg1,90,92,286,92,eff9de51-52ed-4c59-ba42-d101051dcb01,75,female,9,0,-1.5,
008251.jpg1,90,120,244,120,00342756-cbda-4d50-b04c-0c72d8a0e5d6,62,female,-4.8,0,-5.3,
008501.jpg1,90,121,242,121,c624c6b9-0998-4175-a643-3259b2a7ad05,58,female,-12.9,0,-4.4,
008751.jpg1,99,124,270,124,c5aa262d-713e-4c16-91eb-1d9dbc966344,52,female,-2.7,0,2.2,
009001.jpg1,84,123,231,123,e7692a98-f155-47d3-9a68-25b433d60ad3,46,female,-8,0,-1.9,
009251.jpg1,110,122,237,122,387db8a8-0a5b-4352-b253-8882aef33b8d,46,female,-24.6,0,5.7,
009501.jpg1,104,127,252,127,b43fd04d-5115-47af-b955-3b219b9851c3,62,female,-2.9,0,4.2,
009751.jpg1,89,119,246,119,1ebcb67f-dcdf-4ff5-b753-5df3e8364847,43,female,-3.4,0,-1.9,
010001.jpg1,99,122,252,122,3f314419-6d6a-470a-9b55-06cbc9fe7e55,64,female,-4.4,0,1.1,
010251.jpg1,125,131,276,131,e52ecc5a-530d-4982-bf1a-d74470ee3cd7,29,male,-9.5,0,5.9,
010501.jpg1,88,118,279,118,c5f3035f-6edf-4282-bb8d-1d4444281d1a,50,female,24.7,0,-1.8,
010751.jpg1,79,44,113,44,620dc313-63a7-4cbe-9368-5f00f5df58c9,80,male,19.8,0,-1.9,
010751.jpg2,97,41,483,41,0d459f81-2e43-45dc-ad7e-eaf15aa5feb8,36,female,37.6,0,-3.7,
011001.jpg1,98,123,244,123,5d5fec4d-f8e7-45cf-9246-81cea9d4cd52,76,female,-5.3,0,-4.6,
011251.jpg1,103,119,298,119,fb4814bd-51b4-4b1d-92da-4f6450753709,44,female,25.5,0,-11.3,
011501.jpg1,88,122,252,122,1da01ade-5bfd-4942-9709-97943a13438a,66,female,-4.4,0,1,
011751.jpg1,107,123,230,123,007e2a28-9382-4e64-a8fe-36c8dfcdb446,53,female,-24.2,0,2.1,
012001.jpg1,82,119,261,119,301feb6e-d42f-4fbe-8a2e-e99da7fdbb4a,43,female,3.2,0,-4.1,
012251.jpg1,107,122,216,122,c98d9827-78aa-4c71-b7cc-2523b1796749,50,female,-22.7,0,-7.5,
012501.jpg1,103,123,239,123,68159457-948a-4d45-bd58-16eb7f42a85f,47,female,-19.9,0,-0.1,
012751.jpg1,98,121,197,121,624cc52b-d367-41e8-b354-2dd29c23bb03,47,female,-16.3,0,-1.3,
013001.jpg1,108,126,242,126,8a058fe3-9e62-4304-8e15-187871a7a501,55,female,-20,0,2.3,
013251.jpg1,85,121,251,121,47ee6475-14f3-4d42-996a-737b81e6da72,54,female,-4.9,0,2.7,
013501.jpg1,115,45,431,45,f6cd381a-d73c-4b4a-9521-0195839126ff,36,female,-23.2,0,-2.4,
013751.jpg1,63,44,164,44,aea1bd60-5adc-4398-92f8-91e105530894,56,male,32.5,0,-10.4,
013751.jpg2,113,31,447,31,8f17a332-4caa-4691-a59c-f6766edf1fa3,11,female,39.8,0,-7.8,
014001.jpg1,90,122,279,122,8a1b6f05-3c47-403d-a668-fde5d7b87768,52,female,3.9,0,3.9,
014251.jpg1,96,144,177,144,b21d7142-985e-4bc4-8f14-b58c670d6ddd,82,male,-2.3,0,-0.5,
014501.jpg1,88,149,163,149,93cf907b-cb3c-43ad-b42c-67381f5f1fb7,81,male,-4,0,-7,
014751.jpg1,99,145,229,145,1c714142-ca52-4e9f-aa0f-bef0a6a06407,77,male,17.4,0,-2.4,
015251.jpg1,96,145,252,145,74510d3e-25a0-4a15-864f-04cb4ebc6e36,85,male,-0.3,0,1.3,
015501.jpg1,113,144,231,144,f9acfbb4-7974-4d08-8ab7-e68322979d58,84,male,7.2,0,-9.6,
